protein	comparison	logFC	pvalue	qvalue
A0A075B759, A0A0B4J2A2, F5H284, P0DN26, P62937, Q9Y536	ecoli_2-ecoli_1	0	1	1
A0A075B759, A0A0B4J2A2, F5H284, P0DN26, P62937, Q9Y536	ecoli_3-ecoli_1	0	1	1
A0A075B759, A0A0B4J2A2, F5H284, P0DN26, P62937, Q9Y536	ecoli_7-ecoli_1	0	1	1
A0A075B759, A0A0B4J2A2, F5H284, P0DN26, P62937, Q9Y536	ecoli_3-ecoli_2	0	1	1
A0A075B759, A0A0B4J2A2, F5H284, P0DN26, P62937, Q9Y536	ecoli_7-ecoli_2	0	1	1
A0A075B759, A0A0B4J2A2, F5H284, P0DN26, P62937, Q9Y536	ecoli_7-ecoli_3	0	1	1
A0A096LP55, P07919	ecoli_2-ecoli_1	-0.09242601766673694	0.7395295506014539	1
A0A096LP55, P07919	ecoli_3-ecoli_1	-0.5791890677190805	0.06735937330640196	0.27391274663857723
A0A096LP55, P07919	ecoli_7-ecoli_1	-0.32578505335786256	0.2625265787466766	1
A0A096LP55, P07919	ecoli_3-ecoli_2	-0.48676305005234366	0.11179064412129576	0.36636582711295174
A0A096LP55, P07919	ecoli_7-ecoli_2	-0.23335903569112565	0.411531500209958	1
A0A096LP55, P07919	ecoli_7-ecoli_3	0.253404014361218	0.37466735736645773	1
A0AVI2	ecoli_2-ecoli_1	-4.675120020865558e-22	0.9999999999987594	1
A0AVI2	ecoli_3-ecoli_1	6.467627267896401e-21	0.9999999999828382	1
A0AVI2	ecoli_7-ecoli_1	2.818889570806994e-20	0.9999999999252009	1
A0AVI2	ecoli_3-ecoli_2	6.935139269982957e-21	0.9999999999815976	1
A0AVI2	ecoli_7-ecoli_2	2.8656407710156495e-20	0.9999999999239605	1
A0AVI2	ecoli_7-ecoli_3	2.1721268440173537e-20	0.9999999999423628	1
A0AVT1	ecoli_2-ecoli_1	-0.002541396776164301	0.9664425396824965	1
A0AVT1	ecoli_3-ecoli_1	-0.05657402355840596	0.3627931685274919	0.8884568911399637
A0AVT1	ecoli_7-ecoli_1	-0.043292781171740596	0.4811083976514968	1
