protein	sumIntensity_HEK.Ecoli_10.1_replicate1	sumIntensity_HEK.Ecoli_10.1_replicate2	sumIntensity_HEK.Ecoli_20.1_replicate1	sumIntensity_HEK.Ecoli_20.1_replicate2	sumIntensity_HEK.Ecoli_3.1_replicate1	sumIntensity_HEK.Ecoli_3.1_replicate2	sumIntensity_HEK.Ecoli_7.1_replicate1	sumIntensity_HEK.Ecoli_7.1_replicate2
A0A075B759, A0A0B4J2A2, F5H284, P0DN26, P62937, Q9Y536	23.483325145144107	23.44570986529905	23.535278956233288	23.400581807113248	23.40093812250453	23.131673430560785	23.430698558022055	23.622595586746353
A0A096LP55, P07919	19.300043418547556	20.075887985009313	20.475582184015078	19.099226200930826	18.564218381589257	18.126926142858863	19.029355758836385	18.767281705804827
A0AVI2	15.937511401024931	15.01569724923366	15.509979220360055	15.929889264859579	15.767265017933706	15.948583697162722	16.005313880013528	16.064670231747694
A0AVT1	17.60069114813154	17.676583889217177	17.64810515377752	17.613322754808436	17.514259118923786	17.20162814797097	17.40237600019835	17.57191297003533
A0FGR8	17.859848747916846	17.849281963374757	17.600911971430005	17.840507987389728	17.705740374648645	17.78327538953933	17.778910176785523	17.791592554332162
A0JLT2	16.327656651124165	16.472882439986748	16.2716980091573	16.025842291033353	16.2256139001658	15.72219076820566	16.56607792094212	15.966452746390171
A1L0T0	16.719026796661815	16.696964727200765	16.555430770020532	16.981077466231888	17.149556256159762	17.17227786167634	16.799617451080838	17.090774667857875
A1L390	16.565316632824466	15.88932127445446	NA	16.52322713650538	18.770555075795613	18.583030199200984	17.608952072615033	16.623333649643804
A2A3N6, P55036	18.92718788506321	18.663118511643162	18.511348501931952	18.571902693617726	18.496926546542706	18.419272235607338	18.516089939895195	18.44720572727068
A4D1E1	19.080364826297274	19.028488379622715	18.91816905634631	18.836828430428284	18.689173992892442	18.88722583977869	18.797667689934606	18.514308250987696
A4D1E9	17.18449206675657	17.4322948225746	17.22674046050256	17.758012726919578	17.757381637720304	18.286626339345112	17.77024287280553	17.496571340340566
A4D1S0	16.89067515301825	17.441362863100974	17.383426891507238	15.936561045346156	18.43294483826683	17.18458889320389	17.281483564744786	17.226344440517583
A4FU01	16.217870831797313	16.888780214816354	15.900011433952766	16.577083326496663	15.13257668106575	15.856393493965431	16.21137667102581	16.197629988040187
A4UGR9	18.863300842010165	18.957880436023025	19.523179397250885	19.13521101445456	18.720981137858328	19.15623785420564	19.09553113399372	19.25145483106372
A5A3E0	16.06776133306941	16.058725051947423	16.00905839893472	16.28146677801282	16.28280039155202	15.956361301497147	15.947711525455375	16.1050206414094
A5YKK6	17.56956648093044	17.64183162996399	17.671227752987438	17.689443227904523	18.277024228317497	18.536511250444818	17.922183186488162	18.41968928419909
A6NC42	17.880760675977008	17.76696134114522	18.232943248690177	17.2176824959376	16.933908974441785	18.128636914318843	17.03234148120223	17.86590134788928
A6NDG6	18.621997547055145	18.610151825266176	18.612250824208463	18.543354170716263	18.51267550075019	18.296522411540234	18.607911024190336	18.41738527608814
A6NDK9, A6NDN3, P0CG33, Q9NYA3	21.205186374343572	20.854482422949893	21.100582736987302	21.07234048976226	21.54995886469133	20.8491274299838	20.99988807299906	20.93257744289912
A6NDU8	16.855385689645598	16.601174782927117	17.055683341870566	16.75530645282327	16.385477977159116	16.35985319623063	16.535641403485503	16.860873958734917
A6NDY0, Q86U42	21.10058533571581	21.018255458672414	20.88316151910382	19.386258791909935	20.78196075072857	20.984513728178257	20.9678641077011	20.94789536250711
A6NE01	19.040737563430252	18.852698226034374	19.2582806030303	19.04751899560071	18.527862790671012	18.747152439274494	18.539753279016526	18.596658656232208
A6NEC2, P55786	19.738282493864286	19.622931805779785	19.63083905376719	19.83665437084298	19.65094506101779	19.641577795870834	19.599285994214622	19.805989622283708
A6NEY3	20.33574466826572	19.25638158952704	20.2042575692384	20.191315225464887	19.93785561432425	18.841660691799014	19.52905677045885	20.01165934027626
A6NGY1	18.528753019806043	19.044202880327674	18.83430532635046	18.95173905398411	18.063535709914447	18.532502040333707	18.474703323553214	18.607652048389657
A6NHG4, P30046	19.465542537417228	19.2001101704518	19.49580287061445	19.079680205313302	19.253492404249247	19.3843343417522	19.442282065653117	19.17879316352816
A6NHQ2, P22087	21.579933276385994	22.207478896521454	21.752001869834906	22.21058108673887	21.819154697959835	21.815670266367583	21.817634268308677	21.943799085752747
A6NHR9	17.722426023905943	17.353292877420188	17.340334218210703	17.380911214129117	17.423307464840683	17.149433229174985	17.292431857320754	17.314923103306057
A6NI28	19.478775036352417	19.51618400344054	19.21008743095188	19.360162702183498	19.309092760813567	19.176074142580145	19.303677506321534	19.422076864904394
A6NIY4	23.69631652377019	23.957786966358903	23.838063008274656	23.905941175291733	23.7025858158789	23.516008730683172	23.458510031576495	23.78477209571152
A6NIZ1, P61224	19.662404205354417	19.954109514866897	19.703806434167873	19.939762502056404	19.467564837533658	19.642212993803735	19.67988983047573	19.662631171393258
